# table produced by mapDamage version 2.2.1
# using mapped file nf-pipelines/nf-trim-generode/results-iridian/data/bam/CviCPal032.merged.L98.realn.bam and /archive/carpenterlab/pire/mpinsky/pire_chromis_viridis_lcwgs/data/GCA_051013605.1_ASM5101360v1_genomic_20kb.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	64	67605
+	81	70382
+	58	65540
+	94	73065
+	84	71299
+	51	60729
+	57	64608
+	85	71034
+	62	67334
+	102	56703
+	113	52498
+	98	267698
+	91	70881
+	77	71456
+	105	54359
+	70	69547
+	55	63728
+	44	19222
+	53	62051
+	43	18695
+	137	50741
+	92	71068
+	151	1740
+	103	55533
+	99	73722
+	95	72849
+	90	71296
+	76	70725
+	59	65527
+	134	51092
+	145	8215
+	93	73689
+	123	51198
+	124	51359
+	67	69180
+	69	69417
+	72	69585
+	68	69086
+	37	12715
+	79	71042
+	82	70852
+	126	51022
+	66	68337
+	127	51183
+	138	50818
+	89	71277
+	50	59576
+	114	51901
+	132	51308
+	78	71089
+	87	70966
+	129	50939
+	96	73521
+	106	54657
+	56	63840
+	97	79511
+	119	51233
+	45	21791
+	75	70407
+	141	48999
+	140	49747
+	86	70754
+	32	5742
+	88	72029
+	142	47784
+	74	70766
+	100	61055
+	122	51230
+	121	51564
+	40	16555
+	118	51686
+	71	69639
+	60	66091
+	110	52950
+	139	50020
+	80	70047
+	73	70540
+	63	67473
+	117	51983
+	133	51103
+	136	50234
+	54	62819
+	111	52493
+	83	70958
+	52	61065
+	115	52221
+	107	53863
+	65	68125
+	120	51311
+	125	51592
+	147	3668
+	42	18233
+	116	52043
+	128	51433
+	30	5442
+	35	11553
+	130	51315
+	48	24325
+	144	34745
+	143	46083
+	131	51691
+	135	50528
+	108	53175
+	112	52156
+	41	17376
+	49	33920
+	101	58238
+	158	419
+	47	23335
+	61	66518
+	36	11953
+	104	55598
+	39	13370
+	109	53328
+	38	13296
+	34	6389
+	146	4985
+	33	6144
+	31	5552
+	25	152
+	29	144
+	46	22796
+	149	2519
+	153	1146
+	24	193
+	150	2139
+	28	135
+	148	3027
+	26	166
+	159	372
+	154	972
+	169	61
+	152	1393
+	155	733
+	19	60
+	156	658
+	165	132
+	157	501
+	162	239
+	170	50
+	160	308
+	175	22
+	161	257
+	180	12
+	27	180
+	166	94
+	164	154
+	191	3
+	167	107
+	20	72
+	163	216
+	182	5
+	183	6
+	23	34
+	168	57
+	174	33
+	22	51
+	171	46
+	21	44
+	177	18
+	173	48
+	172	45
+	184	5
+	176	24
+	179	16
+	178	14
+	186	4
+	185	6
+	189	2
+	181	6
+	192	1
+	197	1
+	188	1
+	194	1
+	187	1
-	127	51198
-	78	71316
-	72	69778
-	84	70685
-	70	68844
-	77	71210
-	98	267758
-	103	55168
-	94	72093
-	123	51102
-	110	52695
-	131	51332
-	120	51106
-	118	51458
-	59	65632
-	81	69911
-	53	61591
-	52	61313
-	54	62595
-	40	16478
-	117	51700
-	35	11198
-	64	67765
-	111	52255
-	45	21406
-	75	70534
-	97	79264
-	104	54720
-	80	70120
-	73	70166
-	89	71004
-	79	70428
-	137	50531
-	129	51049
-	71	69500
-	85	70812
-	82	70673
-	92	71127
-	76	70806
-	44	18925
-	126	50985
-	90	70461
-	60	65901
-	112	52436
-	140	48951
-	139	49904
-	46	22250
-	93	72936
-	88	71134
-	99	73551
-	113	52061
-	86	71317
-	107	53526
-	55	63213
-	66	68484
-	114	51638
-	138	50455
-	37	12544
-	136	50582
-	135	51062
-	133	50877
-	61	66726
-	106	53908
-	115	51415
-	58	65140
-	124	51302
-	65	67892
-	105	54191
-	62	66816
-	74	69907
-	38	12979
-	100	61161
-	67	68873
-	87	70913
-	144	34240
-	69	69070
-	96	73111
-	43	18257
-	116	51978
-	121	51193
-	50	59135
-	83	71112
-	91	70912
-	68	68612
-	49	33891
-	109	52340
-	41	17315
-	125	51062
-	47	23038
-	32	5706
-	143	45793
-	31	5414
-	134	51569
-	141	48351
-	63	68106
-	122	51368
-	48	24438
-	42	17876
-	36	11891
-	147	3714
-	57	64090
-	149	2405
-	39	13381
-	102	56668
-	33	5953
-	108	53362
-	142	47288
-	56	63568
-	119	51656
-	51	60401
-	95	72509
-	130	51298
-	101	57641
-	145	8175
-	128	50795
-	132	51092
-	30	5194
-	148	2926
-	146	5039
-	34	6268
-	152	1376
-	151	1657
-	155	723
-	154	887
-	153	1115
-	23	45
-	150	1992
-	161	270
-	169	67
-	25	196
-	22	37
-	160	269
-	28	143
-	27	221
-	164	167
-	157	497
-	159	364
-	156	645
-	167	105
-	158	419
-	165	115
-	24	165
-	26	233
-	162	185
-	29	151
-	176	30
-	163	197
-	175	27
-	172	36
-	178	13
-	179	15
-	166	100
-	171	48
-	19	67
-	20	54
-	182	10
-	168	68
-	21	35
-	174	27
-	170	49
-	185	6
-	187	2
-	173	26
-	181	7
-	190	1
-	184	1
-	183	7
-	188	3
-	177	12
-	180	12
-	191	1
-	186	1
-	205	1
-	189	1
-	193	1
