pos	3pG>A
1	0.0137774103019193
2	0.0159505127097528
3	0.0144604101859877
4	0.0143847052404361
5	0.0145421215835145
6	0.0202299883273702
7	0.0210232184806372
8	0.0200156113523291
9	0.0204410131462428
10	0.0208348394703964
11	0.0205741527720429
12	0.0207023522492173
13	0.021137219586298
14	0.0211677604236269
15	0.0211219530595324
16	0.021528710722676
17	0.0212551182261459
18	0.0212180357890577
19	0.021277695581222
20	0.0217564814404373
21	0.0220582685673087
22	0.0222106581422877
23	0.0223109119111229
24	0.0220283476119364
25	0.0220238826298252
