pos	3pG>A
1	0.0539580850218514
2	0.0581696214662195
3	0.0285136922185406
4	0.0244576244732324
5	0.0195258250115733
6	0.0313998894495658
7	0.0323603311917168
8	0.0294873829550865
9	0.0295209503518626
10	0.0281519680067354
11	0.0265257437161319
12	0.0258823529411765
13	0.0271905735087495
14	0.0253756733768075
15	0.0260962705702879
16	0.0261008265261733
17	0.0244792433688413
18	0.026244225287507
19	0.0238896588134363
20	0.0262717651075452
21	0.0273585567878703
22	0.0275076944599888
23	0.0286123792334643
24	0.0273811643225921
25	0.0274200175059395
