pos	3pG>A
1	0.0758663655763103
2	0.0750716031216333
3	0.0394410653721135
4	0.0320986495697788
5	0.027963031656709
6	0.037654902925223
7	0.038087986241483
8	0.0350778707489702
9	0.0344907384116955
10	0.0346312539867525
11	0.0317981994476985
12	0.0318833757555317
13	0.0326144320629462
14	0.032351864654927
15	0.031307484955184
16	0.031110368838243
17	0.0307692702729768
18	0.0296569810347513
19	0.0294134242991613
20	0.0309514495140833
21	0.0317143467946951
22	0.0321888135164634
23	0.031865073890215
24	0.0319640053429569
25	0.0321573768445037
