pos	3pG>A
1	0.0472526337533567
2	0.0457460266682177
3	0.0252537994833904
4	0.0211062317807054
5	0.0184680432383561
6	0.0300724937291546
7	0.0297988981463891
8	0.0268545975019576
9	0.0275402511362761
10	0.0276066871975363
11	0.0258855411675977
12	0.0251963548789195
13	0.026075238058914
14	0.0251367625151784
15	0.0257487765089723
16	0.0259320125778025
17	0.0260437167073395
18	0.0269376984075143
19	0.0246124953711051
20	0.0269465059984572
21	0.0284734041116244
22	0.0271295333990201
23	0.0277659413616308
24	0.0281925761377816
25	0.0276832281087016
