# table produced by mapDamage version 2.2.1
# using mapped file CviAPal022.merged.L103.realn.bam and reference.ssl.Cvi20k_rename.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	81	8265
+	60	10284
+	70	10088
+	63	10444
+	88	7073
+	126	2237
+	150	1263
+	122	2605
+	61	10221
+	93	6383
+	86	7531
+	119	2862
+	57	10247
+	87	7297
+	92	6334
+	45	8775
+	79	8660
+	62	10492
+	232	70
+	54	9654
+	141	1435
+	104	4446
+	58	10450
+	51	9407
+	118	2986
+	72	9777
+	77	9168
+	65	10257
+	84	7664
+	47	9328
+	53	9736
+	67	10370
+	240	38
+	85	7663
+	108	3915
+	160	757
+	109	3831
+	75	9400
+	112	3587
+	279	20
+	55	10094
+	89	6819
+	64	10415
+	100	5095
+	43	7566
+	80	8501
+	66	10350
+	98	5509
+	110	3799
+	91	6415
+	39	5160
+	95	5896
+	137	1591
+	42	7309
+	83	7821
+	78	8822
+	44	7727
+	36	5010
+	96	5667
+	123	2510
+	103	4572
+	152	989
+	138	1528
+	76	9082
+	99	5318
+	153	975
+	101	5041
+	73	9825
+	74	9559
+	50	9342
+	69	10326
+	106	4238
+	117	3055
+	158	769
+	71	9710
+	105	4264
+	59	10118
+	90	6756
+	97	5702
+	56	10039
+	48	9368
+	120	2724
+	143	1295
+	68	10307
+	102	4721
+	116	3209
+	113	3463
+	140	1572
+	49	9866
+	107	4091
+	94	6203
+	46	8974
+	82	8091
+	111	3607
+	33	2109
+	135	1687
+	199	203
+	190	230
+	212	134
+	192	239
+	38	5070
+	173	485
+	35	4801
+	243	48
+	40	6872
+	155	895
+	121	2594
+	136	1646
+	130	2041
+	133	1804
+	132	1873
+	221	99
+	207	143
+	183	302
+	154	931
+	188	250
+	114	3383
+	134	1695
+	179	356
+	169	525
+	174	479
+	127	2271
+	115	3198
+	178	385
+	139	1532
+	52	9568
+	184	294
+	151	1053
+	125	2366
+	31	1686
+	124	2375
+	163	672
+	146	1218
+	180	334
+	41	6982
+	198	195
+	161	753
+	30	1868
+	129	2000
+	145	1240
+	209	125
+	235	50
+	193	217
+	37	5141
+	164	675
+	142	1330
+	157	799
+	32	1598
+	175	448
+	214	113
+	168	569
+	222	76
+	128	2078
+	176	411
+	172	452
+	170	541
+	215	97
