pos	3pG>A
1	0.0581169297559574
2	0.0552616353074591
3	0.0285302137788692
4	0.0239007927412407
5	0.0210768129950666
6	0.0320150496993074
7	0.0316018934255125
8	0.0292331999326313
9	0.0286955789068236
10	0.0296207869390279
11	0.0279699784145593
12	0.0269535961893457
13	0.0275399240912345
14	0.0278384257767915
15	0.0277693271840053
16	0.0282410948204319
17	0.0278836567142746
18	0.027324156758268
19	0.0262269349313669
20	0.0286784336684064
21	0.0287792762314614
22	0.0287384947658771
23	0.0292592436443358
24	0.0292231864521021
25	0.0290297329766883
