pos	3pG>A
1	0.0715403040524026
2	0.077909435225043
3	0.0421454183515811
4	0.0350084673073962
5	0.030650861809406
6	0.0421433597100807
7	0.0403659576429378
8	0.0373495575221239
9	0.0363876663744499
10	0.0361275336828673
11	0.0333946976024208
12	0.0323243472723413
13	0.0334374082672858
14	0.0328108153676187
15	0.031941143180532
16	0.0316802024910773
17	0.0310867603219896
18	0.0298272800791539
19	0.0287105439892545
20	0.0300460871758421
21	0.0312895607860829
22	0.0299391654372257
23	0.0309551818789934
24	0.030825407217184
25	0.0309468484795917
