# table produced by mapDamage version 2.2.1
# using mapped file CviAPal012.merged.L103.realn.bam and reference.ssl.Cvi20k_rename.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	61	4548
+	118	1987
+	58	4341
+	123	1783
+	124	1759
+	57	4072
+	100	3210
+	95	3548
+	49	3561
+	60	4461
+	126	1460
+	125	1633
+	45	3212
+	74	4733
+	89	4040
+	43	2830
+	134	1266
+	55	4043
+	77	4526
+	107	2677
+	127	1640
+	140	1078
+	69	4941
+	52	3730
+	59	4227
+	83	4331
+	88	4086
+	171	370
+	145	907
+	47	3553
+	66	4673
+	53	3694
+	94	3750
+	156	611
+	96	3399
+	109	2591
+	72	4847
+	62	4572
+	40	2562
+	133	1271
+	122	1809
+	79	4549
+	101	3029
+	73	4712
+	67	4866
+	165	492
+	136	1289
+	103	2927
+	85	4212
+	80	4462
+	152	754
+	42	2688
+	132	1375
+	64	4575
+	87	3917
+	68	4740
+	112	2414
+	225	48
+	224	64
+	111	2444
+	99	3437
+	108	2675
+	105	2855
+	120	1954
+	50	3488
+	116	2273
+	164	502
+	97	3423
+	78	4516
+	71	4794
+	114	2308
+	211	86
+	84	4414
+	76	4601
+	151	792
+	128	1549
+	104	2832
+	81	4570
+	70	4790
+	93	3879
+	65	4736
+	92	3872
+	148	800
+	54	3798
+	178	283
+	157	581
+	106	2818
+	183	282
+	149	856
+	82	4450
+	91	3772
+	48	3612
+	46	3393
+	197	146
+	51	3595
+	117	2101
+	173	339
+	170	413
+	150	888
+	160	570
+	56	4041
+	141	1058
+	63	4617
+	75	4730
+	32	744
+	168	451
+	159	542
+	90	3957
+	179	281
+	143	928
+	137	1142
+	115	2240
+	121	1908
+	138	1082
+	131	1351
+	98	3465
+	153	704
+	135	1343
+	154	730
+	142	1057
+	113	2407
+	86	4138
+	155	708
+	102	3011
+	110	2572
+	176	312
+	130	1378
+	44	2949
+	34	770
+	139	1097
+	38	1980
+	161	607
+	191	193
+	119	2057
+	163	569
+	204	119
+	30	954
+	31	847
+	41	2630
+	189	175
+	35	1899
+	223	75
+	39	1779
+	129	1401
+	146	894
+	36	1875
+	37	2027
+	268	20
+	216	86
+	167	476
+	251	29
+	198	151
+	180	260
+	209	96
+	208	119
+	202	112
+	166	458
+	190	170
+	206	101
+	240	40
+	195	144
+	185	236
+	147	847
+	228	57
+	169	428
+	162	516
+	226	66
+	182	259
+	172	366
+	266	21
+	221	61
+	244	45
+	280	24
+	33	871
+	184	236
+	199	129
+	196	148
+	194	179
+	158	563
+	258	30
+	177	312
+	218	90
+	175	359
+	144	934
+	253	39
+	186	247
+	259	27
+	273	22
+	212	74
+	242	40
+	193	162
+	174	327
+	203	105
+	214	78
+	181	258
+	187	196
+	210	76
+	188	190
+	236	44
+	248	34
+	207	88
+	229	64
+	239	50
+	262	36
+	250	37
+	274	23
+	282	21
+	233	47
+	284	11
+	288	13
+	200	126
+	232	58
+	243	24
+	283	21
+	192	173
+	265	28
+	205	127
+	271	20
+	213	87
+	215	87
+	219	64
+	286	16
+	246	25
+	245	45
+	217	81
+	285	13
+	231	54
+	220	65
+	235	41
+	230	46
+	264	18
+	255	32
+	254	21
+	201	124
+	267	31
+	227	56
+	237	41
+	234	49
+	269	24
+	222	88
+	238	48
+	249	40
+	278	18
+	279	19
+	263	29
+	270	26
+	257	32
+	261	22
+	276	21
+	277	22
+	256	28
+	26	9
+	247	28
+	260	22
+	241	30
+	294	2
+	252	37
+	275	18
+	281	20
+	27	3
+	309	1
+	24	10
+	272	20
+	28	3
+	287	12
+	290	2
+	29	3
+	295	1
+	25	6
+	289	4
+	292	1
+	291	1
+	306	1
+	304	1
+	23	1
+	20	1
+	305	1
+	315	1
+	297	1
-	66	3970
-	37	1666
-	53	3350
-	83	3466
-	146	656
-	100	2547
-	82	3621
-	114	1795
-	47	2935
-	118	1617
-	51	3091
-	63	3856
-	103	2213
-	41	2280
-	93	2985
-	107	2098
-	184	184
-	78	3769
-	74	3933
-	67	3994
-	58	3702
-	122	1461
-	79	3747
-	87	3363
-	80	3554
-	130	1071
-	68	3935
-	101	2426
-	135	935
-	56	3457
-	76	3790
-	75	3950
-	81	3615
-	91	3077
-	90	3162
-	38	1582
-	43	2349
-	45	2874
-	46	2974
-	141	759
-	57	3510
-	106	2151
-	96	2861
-	129	1142
-	39	1530
-	102	2425
-	70	4159
-	48	3019
-	54	3298
-	85	3443
-	97	2573
-	77	3843
-	84	3540
-	61	3800
-	69	4109
-	44	2394
-	42	2259
-	86	3298
-	192	136
-	161	389
-	55	3522
-	89	3189
-	108	1938
-	99	2722
-	60	3683
-	181	184
-	124	1234
-	65	3982
-	104	2275
-	98	2656
-	128	1122
-	112	1898
-	109	2122
-	113	1783
-	88	3299
-	242	36
-	153	517
-	110	1958
-	73	3849
-	95	2867
-	131	1001
-	64	3928
-	49	3147
-	167	294
-	59	3695
-	222	41
-	116	1719
-	163	362
-	62	3808
-	140	809
-	155	470
-	230	43
-	94	2975
-	111	1985
-	126	1242
-	138	825
-	168	268
-	36	1497
-	272	25
-	72	4026
-	117	1729
-	50	3098
-	71	4067
-	157	421
-	136	878
-	125	1203
-	92	3081
-	151	518
-	174	235
-	115	1751
-	205	85
-	171	280
-	173	262
-	156	440
-	137	868
-	119	1483
-	278	13
-	40	2245
-	198	105
-	144	704
-	165	313
-	164	324
-	160	392
-	52	3230
-	200	97
-	193	106
-	123	1344
-	105	2144
-	134	934
-	203	88
-	132	1021
-	143	685
-	159	405
-	35	1565
-	232	52
-	149	583
-	148	616
-	158	425
-	170	249
-	133	1016
-	31	683
-	121	1457
-	256	28
-	185	166
-	150	734
-	139	841
-	276	14
-	142	730
-	33	680
-	127	1181
-	147	578
-	120	1479
-	215	69
-	162	385
-	30	740
-	258	28
-	237	27
-	32	577
-	154	497
-	145	618
-	178	214
