# table produced by mapDamage version 2.2.1
# using mapped file CviAPal029.merged.L103.realn.bam and reference.ssl.Cvi20k_rename.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	129	430
+	104	882
+	113	689
+	101	917
+	180	105
+	72	1755
+	85	1377
+	185	81
+	69	1812
+	60	1742
+	99	1056
+	109	752
+	94	1288
+	54	1470
+	133	374
+	170	183
+	75	1739
+	71	1776
+	91	1295
+	70	1741
+	68	1694
+	74	1643
+	57	1522
+	121	505
+	131	413
+	59	1553
+	39	856
+	93	1285
+	112	722
+	77	1672
+	138	374
+	65	1707
+	76	1668
+	48	1367
+	177	139
+	81	1421
+	137	381
+	128	440
+	62	1656
+	141	371
+	155	231
+	143	308
+	118	587
+	116	710
+	100	956
+	66	1676
+	192	76
+	96	1141
+	43	1110
+	97	1099
+	132	376
+	79	1588
+	87	1309
+	86	1419
+	174	147
+	84	1498
+	51	1363
+	123	536
+	110	738
+	117	653
+	163	168
+	80	1507
+	55	1530
+	30	448
+	47	1325
+	105	839
+	107	810
+	134	435
+	32	595
+	26	40
+	24	56
+	64	1775
+	189	80
+	111	767
+	92	1245
+	67	1858
+	125	486
+	73	1724
+	215	48
+	50	1230
+	53	1356
+	41	1070
+	130	448
+	61	1667
+	38	823
+	95	1136
+	63	1676
+	172	149
+	89	1327
+	150	370
+	119	549
+	45	1294
+	157	231
+	58	1554
+	56	1543
+	108	819
+	159	231
+	90	1349
+	175	136
+	78	1556
+	35	1167
+	114	623
+	148	295
+	147	273
+	181	92
+	202	52
+	124	499
+	103	920
+	127	479
+	115	696
+	82	1485
+	154	220
+	151	245
+	153	247
+	44	1215
+	171	138
+	52	1371
+	279	5
+	186	87
+	83	1445
+	139	368
+	88	1345
+	196	60
+	49	1354
+	149	302
+	42	1045
+	102	917
+	40	1057
+	165	172
+	146	293
+	36	815
+	161	173
+	156	250
+	46	1372
+	98	1045
+	211	36
+	135	388
+	126	491
+	220	37
+	245	15
+	37	962
+	106	784
+	31	488
+	182	91
+	122	521
+	142	371
+	33	523
+	176	103
+	203	57
+	136	355
+	34	508
+	197	64
+	120	502
+	145	302
+	199	66
+	178	93
+	219	20
+	25	51
+	169	142
+	140	372
+	166	168
+	187	73
+	167	166
+	152	242
+	206	45
+	162	193
+	190	98
+	273	6
+	179	94
+	160	210
+	236	20
+	164	166
+	194	64
+	158	226
+	29	10
+	201	51
+	184	103
+	144	299
+	168	171
+	223	26
+	217	29
+	258	11
+	28	24
+	244	18
+	216	30
+	191	75
+	214	35
+	289	3
+	280	4
+	173	123
+	254	8
+	204	44
+	183	84
+	231	16
+	287	5
+	229	19
+	221	24
+	195	64
+	247	11
+	225	22
+	246	7
+	208	34
+	188	77
+	198	52
+	275	10
+	212	30
+	213	41
+	256	8
+	235	14
+	238	13
+	230	20
+	255	6
+	233	21
+	276	5
+	234	16
+	27	36
+	269	13
+	267	15
+	207	43
+	193	62
+	218	36
+	283	3
+	237	19
+	243	20
+	262	9
+	209	39
+	241	13
+	205	44
+	228	18
+	250	12
+	248	8
+	210	40
+	268	12
+	266	6
+	227	20
+	226	20
+	265	13
+	224	22
+	249	8
+	251	13
+	242	11
+	257	23
+	239	19
+	232	22
+	272	10
+	284	9
+	264	10
+	263	14
+	200	52
+	277	6
+	274	12
+	259	10
+	252	14
+	288	4
+	253	11
+	222	14
+	240	14
+	270	10
+	278	13
+	281	6
