pos	3pG>A
1	0.0441476022314346
2	0.0419431109837358
3	0.024379651149142
4	0.0199525927374029
5	0.0186403082071837
6	0.0285776465947578
7	0.0288099156006157
8	0.0267674342188408
9	0.0271769273433167
10	0.0261562399399077
11	0.0246652572233968
12	0.0251788776535983
13	0.0265870328181762
14	0.0245908662496787
15	0.0254706817832042
16	0.0251508156159527
17	0.025084912753766
18	0.026340677879454
19	0.0238848547717842
20	0.026696095433286
21	0.0270349068355907
22	0.026259002157918
23	0.0260516992874173
24	0.0284935845815214
25	0.0272812042094046
