pos	3pG>A
1	0.0493658079162965
2	0.0484191538757036
3	0.0247771712844607
4	0.0213830492833867
5	0.0173530877622219
6	0.0274097834803528
7	0.0284402103923911
8	0.0242253026333124
9	0.0253609338704461
10	0.0248742801846535
11	0.0234005916375999
12	0.0225332068311195
13	0.0241763693133736
14	0.0223255947509727
15	0.0236220472440945
16	0.0237813552976413
17	0.0232819284324001
18	0.0249341869091779
19	0.0229940480675055
20	0.0257225900209914
21	0.0274144658617052
22	0.0260884070058382
23	0.0271112176085989
24	0.0282442356082781
25	0.0264853859226977
