pos	5pC>T
1	0.0149335833239716
2	0.0317077002752384
3	0.0178478355801603
4	0.0173827070817128
5	0.0168849538977368
6	0.0238136142715428
7	0.0253544802253732
8	0.0226352840928795
9	0.0237518058718382
10	0.024118558698179
11	0.0209906510610685
12	0.0222824733451434
13	0.0225759209966455
14	0.0224353103666777
15	0.0217794208012052
16	0.0234850073390648
17	0.0227726469343556
18	0.0237956994049834
19	0.0219457036015751
20	0.0238003454404366
21	0.0240121138582338
22	0.0241054803482462
23	0.0238773208442284
24	0.0245714922094095
25	0.024290665422792
