pos	3pG>A
1	0.0520649118033828
2	0.0516427027613429
3	0.0271689220214461
4	0.0227390750713153
5	0.020410615773444
6	0.0313506532370475
7	0.0307582477671791
8	0.0280986665223118
9	0.0286435812652157
10	0.0291975347070908
11	0.0268101417419959
12	0.0260479851372242
13	0.0266100469822913
14	0.0261171999957062
15	0.0266827260568532
16	0.0272481463409265
17	0.0262879106092089
18	0.0267943685404775
19	0.0251003866745985
20	0.0270227500508655
21	0.0282188968144018
22	0.0279234290470246
23	0.0278578437975025
24	0.0280490194948179
25	0.0287240537240537
