pos	3pG>A
1	0.0146914269812956
2	0.0164418704984379
3	0.0145280149725114
4	0.0141271144363129
5	0.0140744672281741
6	0.0231504724425403
7	0.023234135221727
8	0.0230175088412054
9	0.0228724121580177
10	0.0231781232850838
11	0.0240953511220081
12	0.0240128805048546
13	0.0241988270125231
14	0.0238291805471608
15	0.0240807235835449
16	0.0247512301804265
17	0.0241495172407721
18	0.0254705376221043
19	0.0245944865107163
20	0.0248191404472523
21	0.0258778936505889
22	0.0256542656217899
23	0.0257484578006761
24	0.02574408833732
25	0.0261554817567049
