# table produced by mapDamage version 2.2.1
# using mapped file nf-pipelines/nf-trim-generode/results/data/bam/CviCPal093.merged.L103.realn.bam and nf-pipelines/nf-trim-generode//data/reference/reference.ssl.Cvi20k_rename.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	135	25417
+	97	21797
+	98	22527
+	103	63542
+	49	12568
+	111	19767
+	137	25233
+	106	19635
+	70	19925
+	131	24300
+	136	25685
+	100	22468
+	62	19228
+	61	19138
+	138	25628
+	123	22028
+	75	20186
+	57	18544
+	65	19011
+	139	25835
+	102	24745
+	73	20248
+	87	20983
+	132	24405
+	88	21081
+	104	23421
+	130	23990
+	107	19431
+	119	21112
+	89	21201
+	120	21576
+	91	21107
+	81	20760
+	84	20962
+	76	20349
+	77	20369
+	47	13008
+	56	18721
+	45	13229
+	46	13271
+	42	11916
+	66	19353
+	124	22263
+	128	23139
+	141	25624
+	116	20549
+	86	21264
+	117	20539
+	94	22012
+	105	20445
+	101	22632
+	108	19142
+	134	25214
+	110	19775
+	71	19646
+	125	22764
+	80	20630
+	122	21896
+	112	19952
+	95	21963
+	78	20378
+	74	20126
+	63	19019
+	68	19840
+	85	21208
+	109	19455
+	83	21194
+	67	19337
+	143	24637
+	54	17772
+	82	20665
+	99	23027
+	140	26313
+	129	23456
+	64	19074
+	93	21822
+	92	21251
+	121	21284
+	133	24637
+	144	18840
+	113	19763
+	59	18763
+	55	18391
+	90	21116
+	115	20473
+	142	24986
+	118	20954
+	58	18482
+	34	5010
+	69	19574
+	114	19917
+	53	17936
+	127	23171
+	126	23298
+	48	12673
+	79	20456
+	96	22018
+	150	901
+	148	1266
+	30	7760
+	72	19869
+	39	8945
+	33	5369
+	51	10413
+	152	646
+	60	18639
+	52	15806
+	35	12610
+	149	1089
+	44	10728
+	43	11608
+	41	12977
+	31	6718
+	145	3987
+	40	13330
+	161	112
+	50	10630
+	146	2284
+	37	10578
+	32	6063
+	36	11415
+	153	495
+	154	380
+	162	104
+	155	315
+	38	9798
+	147	1640
+	151	743
+	27	313
+	29	306
+	156	315
+	21	49
+	164	68
+	159	158
+	28	212
+	26	331
+	157	191
+	25	377
+	158	175
+	24	391
+	167	52
+	20	82
+	22	52
+	163	72
+	169	33
+	185	2
+	168	40
+	170	25
+	172	20
+	165	53
+	175	23
+	160	146
+	171	32
+	179	9
+	174	18
+	166	42
+	19	62
+	23	51
+	184	6
+	188	1
+	183	6
+	186	2
+	176	11
+	181	2
+	180	3
+	177	7
+	173	15
+	182	2
+	193	1
+	192	1
+	189	1
+	187	1
+	178	2
-	46	12642
-	103	62993
-	59	17787
-	98	22137
-	119	20332
-	97	21211
-	72	19126
-	118	20085
-	90	20709
-	88	20424
-	95	21463
-	91	20775
-	87	20282
-	94	21378
-	125	22094
-	121	20863
-	138	25315
-	124	21871
-	120	20392
-	133	24405
-	93	21113
-	137	24919
-	147	1721
-	114	19311
-	86	20352
-	112	19262
-	84	20252
-	100	21951
-	129	22931
-	82	19998
-	63	18355
-	62	18157
-	73	19517
-	74	19464
-	101	22082
-	105	19668
-	106	18887
-	130	23547
-	42	11125
-	39	8383
-	45	12416
-	47	12166
-	140	24928
-	48	11762
-	60	17595
-	34	4621
-	113	19265
-	102	23987
-	136	24861
-	110	18851
-	134	24652
-	58	17766
-	144	18198
-	57	17811
-	146	2267
-	143	23990
-	141	25170
-	83	20113
-	122	20890
-	131	24036
-	53	16635
-	71	18960
-	61	18151
-	135	24817
-	56	17721
-	66	18707
-	99	21727
-	25	326
-	65	18497
-	64	18128
-	139	25464
-	80	19758
-	69	18834
-	109	18819
-	70	19067
-	75	19666
-	77	19670
-	76	19317
-	79	19707
-	78	19634
-	92	20668
-	127	22409
-	126	22327
-	123	21362
-	111	19018
-	108	18587
-	104	23192
-	132	24129
-	55	17546
-	89	20537
-	107	18812
-	128	22511
-	116	19748
-	67	18583
-	117	19829
-	54	16742
-	52	15099
-	142	24990
-	49	11565
-	32	5777
-	96	21338
-	50	10062
-	85	20137
-	115	19461
-	68	18809
-	150	903
-	155	304
-	81	19883
-	33	4914
-	29	285
-	145	3864
-	44	9922
-	51	9757
-	43	10933
-	35	11926
-	40	12507
-	153	445
-	149	1099
-	37	10057
-	30	7553
-	148	1314
-	38	9300
-	36	10925
-	31	6516
-	41	11706
-	152	599
-	157	215
-	26	331
-	151	732
-	161	112
-	154	356
-	22	37
-	162	105
-	27	319
-	165	62
-	160	123
-	20	85
-	167	50
-	156	301
-	159	158
-	28	198
-	168	28
-	169	30
-	19	92
-	164	79
-	173	14
-	174	16
-	24	392
-	21	68
-	23	45
-	158	165
-	163	73
-	170	23
-	176	8
-	166	47
-	177	11
-	172	18
-	175	14
-	195	2
-	179	7
-	189	1
-	178	5
-	171	20
-	181	5
-	185	2
-	184	1
-	187	1
-	182	3
-	186	1
-	180	2
-	188	1
-	183	6
