pos	3pG>A
1	0.0142931996432677
2	0.0171302198694202
3	0.0148835455631351
4	0.0147411448876224
5	0.0149268975181507
6	0.0230498190104577
7	0.0235505285614371
8	0.0230623698361376
9	0.0230878012296624
10	0.0234007009043768
11	0.0240372499050264
12	0.0240182300600849
13	0.0245775106273118
14	0.0244724095254353
15	0.0244020676540697
16	0.0248277992145029
17	0.024625516354945
18	0.0249942805773791
19	0.0246793039087702
20	0.0252282587580133
21	0.0262045163772838
22	0.025703135731723
23	0.0259245161924382
24	0.0262705788822355
25	0.0261096252268313
